case_id,category_level_1,category_level_2,notes,insights
23-00129.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has a history of Major Depressive Disorder affecting reliability.,
23-00198.h1,Drugs,Pattern of recurring use,Applicant had a history of Oxycodone addiction and recent use.,
23-00241.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $247,000.",
23-00256.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $65,000.",
23-00302.h1,Personal Conduct,False statements on SF-86,Applicant made false claims about employment and foreign travel.,
23-00303.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has a history of DUI incidents and alcohol misuse.,
23-00361.h1,Drugs,Pattern of recurring use,Applicant admitted to multiple drug uses over several years.,
23-00362.h1,Personal Conduct,Pattern of dishonesty,Applicant engaged in repeated dishonesty regarding his actions.,
23-00444.h1,Foreign Influence,Close and continuing foreign contacts,"Applicant has in-laws in Thailand, but limited discussions about work.",
23-00525.h1,Technology Misuse / Information Security,Unauthorized access to systems,"Applicant installed unauthorized browser, leading to security concerns.",
23-00589.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent accounts totaling $77,436.",
23-00605.h1,Financial,Chronic delinquent debt,Applicant has significant delinquent debts and failed to disclose them.,
23-00642.h1,Financial,Chronic delinquent debt,Applicant has 12 delinquent debts linked to financial mismanagement.,
23-00671.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts exceeding $35,000.",
23-00673.h1,Financial,Chronic delinquent debt,Applicant admitted to multiple delinquent debts.,
23-00723.h1,Financial,Chronic delinquent debt,Applicant has significant unpaid student loans and unresolved financial issues.,
23-00729.h1,Personal Conduct,False statements on SF-86,Applicant falsified reports during background investigations.,
23-00740.h1,Criminal Conduct,Misdemeanor pattern,Applicant admitted to multiple thefts and received probation.,
23-00788.h1,Financial,Chronic delinquent debt,"Applicant has $80,000 in delinquent debt and failed to show progress in resolving it.",
23-00935.h1,Foreign Influence,Close and continuing foreign contacts,Applicant maintained intimate relationships and financial support to foreign nationals.,
23-01001.h1,Technology Misuse / Information Security,Mishandling classified or sensitive data,Applicant downloaded sensitive data to a personal thumb drive.,
23-01037.h1,Criminal Conduct,Misdemeanor pattern,Applicant admitted to multiple shoplifting incidents and was convicted.,
23-01069.h1,Financial,Chronic delinquent debt,"Applicant has multiple accounts in collections totaling over $30,000.",
23-01070.h1,Financial,Chronic delinquent debt,Applicant has significant unpaid taxes and multiple delinquent accounts.,
23-01131.h1,Financial,Unpaid taxes,Applicant failed to file federal and state tax returns for multiple years.,
23-01135.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and bankruptcy filings.,
23-01143.h1,Drugs,Use during clearance process,Applicant used cocaine while holding a security clearance.,
23-01144.h1,Financial,Chronic delinquent debt,Applicant had multiple debts charged off but has since resolved them.,
23-01146.h1,Financial,Chronic delinquent debt,"Applicant has unresolved debts exceeding $19,000.",
23-01202.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
23-01204.h1,Drugs,Use during clearance process,Applicant admitted to marijuana use while holding a security clearance.,
23-01257.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
23-01266.h1,Financial,Unpaid taxes,Applicant has significant unpaid federal and state taxes.,
23-01277.h1,Financial,Gambling-related losses,Applicant has significant gambling losses impacting financial stability.,
23-01292.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has a history of mental health issues impacting reliability.,
23-01303.h2,Financial,Unpaid taxes,Applicant has significant past-due tax debts and is making payments.,
23-01393.h1,Financial,Failure to file required financial disclosures,Applicant failed to file federal and state tax returns for 2021 and 2022.,
23-01403.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
23-01439.h1,Drugs,Use during clearance process,Applicant disclosed past drug use and sought treatment.,
23-01442.h1,Foreign Influence,Close and continuing foreign contacts,Applicant involved with foreign company and attempted to access classified info.,
23-01448.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $134,000.",
23-01450.h1,Foreign Influence,Financial ties to foreign persons or entities,Applicant financially supports a foreign national girlfriend.,
23-01457.h1,Financial,Chronic delinquent debt,Applicant has unresolved debts and a history of late tax filings.,
23-01462.h1,Drugs,Use after submitting SF-86,Applicant admitted ongoing marijuana use after submitting clearance application.,
23-01471.h1,Financial,Bankruptcy with aggravating factors,Applicant has multiple bankruptcies and ongoing financial issues.,
23-01472.h1,Financial,Unpaid taxes,Applicant has multiple delinquent federal and state tax issues.,
23-01526.h1,Financial,Unpaid taxes,Applicant failed to file federal and state tax returns for 2023.,
23-01548.h1,Financial,Chronic delinquent debt,"Applicant has 18 delinquent debts totaling $30,348.",
23-01584.h1,Foreign Influence,Financial ties to foreign persons or entities,Applicant has family in Taiwan with significant business interests.,
23-01591.h1,Financial,Unpaid taxes,Applicant has significant unpaid federal and state tax debts.,
23-01593.h1,Personal Conduct,False statements on SF-86,Applicant allegedly falsified facts during interviews.,
23-01595.h1,Drugs,Use during clearance process,Applicant used marijuana and psychedelic mushrooms while holding a security clearance.,
23-01596.h1,Alcohol Consumption,Pattern of binge drinking,Applicant has a history of multiple DUIs and continues to drink despite treatment.,
23-01614.h2,Financial,Unpaid taxes,Applicant has significant unpaid federal income taxes.,
23-01691.h1,Drugs,Use during clearance process,Applicant admitted to using anabolic steroids and shipping them illegally.,
23-01698.h1,Drugs,Use after submitting SF-86,Applicant admitted to marijuana use while holding a security clearance.,
23-01716.h1,Personal Conduct,False statements on SF-86,Applicant made false statements regarding debts and prior incidents.,
23-01723.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting her security clearance application.,
23-01744.h1,Financial,Failure to file required financial disclosures,Applicant failed to timely file tax returns for multiple years.,
23-01745.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $45,000.",
23-01787.h1,Drugs,Use during clearance process,Applicant used illegal drugs while holding a security clearance.,
23-01795.h1,Drugs,Use during clearance process,Applicant used marijuana from 2016 to 2022 but has since abstained.,
23-01853.h1,Alcohol Consumption,Pattern of binge drinking,Applicant had a history of alcohol abuse but has maintained sobriety for three years.,
23-01862.h1,Drugs,Use during clearance process,Applicant used THC during the clearance process despite legal implications.,
23-01949.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and payment plans.,
23-02025.h1,Criminal Conduct,Felony conviction,Applicant has a felony conviction for theft of government property.,
23-02029.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
23-02036.h1,Financial,Unpaid taxes,Applicant has significant unpaid federal and state taxes.,
23-02036.h2,Financial,Unpaid taxes,Applicant has significant unpaid federal and state taxes.,
23-02038.h1,Psychological Conditions,Condition affecting judgment or reliability,"Applicant has major depressive disorder and anxiety, affecting reliability.",
23-02076.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling about $8,470.",
23-02086.h1,Alcohol Consumption,Failure to disclose treatment or incidents,Applicant admitted to alcohol dependence and failed to follow treatment advice.,
23-02087.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DUI incidents and a history of alcohol-related issues.,
23-02090.h1,Criminal Conduct,Felony conviction,Applicant has multiple arrests and serious allegations of sexual assault.,
23-02146.h1,Financial,Failure to file required financial disclosures,Applicant failed to file taxes for multiple years.,
23-02168.h1,Drugs,Use during clearance process,Applicant admitted marijuana use while holding a security clearance.,
23-02175.h1,Drugs,Failure to disclose use,Applicant failed to disclose cocaine and marijuana use in security documents.,
23-02177.h1,Financial,Chronic delinquent debt,Applicant had significant financial issues but is resolving debts.,
23-02201.h1,Financial,Chronic delinquent debt,Applicant has significant unpaid federal and state taxes.,
23-02225.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $55,000.",
23-02228.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $17,000.",
23-02231.h1,Financial,Chronic delinquent debt,Applicant has a long history of financial problems and multiple delinquent debts.,
23-02234.h1,Drugs,Failure to disclose use,Applicant admitted past marijuana use but failed to disclose it on SCA.,
23-02239.h1,Drugs,Pattern of recurring use,"Applicant used illegal drugs frequently, including while holding a clearance.",
23-02241.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DUI convictions and a history of alcohol misuse.,
23-02249.h1,Foreign Influence,Close and continuing foreign contacts,Applicant has undisclosed family ties and business with foreign nationals.,
23-02250.h1,Drugs,Use during clearance process,Applicant admitted to past illegal drug use during clearance process.,
23-02260.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DUI incidents and failed to disclose one.,
23-02263.h1,Foreign Influence,Close and continuing foreign contacts,"Applicant has family in Afghanistan and communicates regularly, raising influence concerns.",
23-02323.h1,Drugs,Failure to disclose use,Applicant failed to disclose marijuana use on security clearance application.,
23-02335.h1,Personal Conduct,Pattern of dishonesty,Applicant falsified information on security clearance application.; level1_corrected,
23-02337.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $26,000.",
23-02354.h1,Drugs,Use during clearance process,Applicant admitted past marijuana use but claims no intent to use again.,
23-02357.h1,Financial,Chronic delinquent debt,"Applicant has multiple unpaid debts totaling approximately $59,000.",
23-02361.h1,Drugs,Failure to disclose use,Applicant failed to disclose marijuana use in SF-86.,
23-02370.h1,Financial,Chronic delinquent debt,"Applicant has over $74,000 in unresolved delinquent debts.",
23-02371.h1,Financial,Chronic delinquent debt,Applicant has multiple unpaid debts and unfiled tax returns.,
23-02387.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and financial issues.,
23-02402.h2,Drugs,Pattern of recurring use,Applicant admitted to multiple drug uses over several years.,
23-02402.h3,Drugs,Pattern of recurring use,Applicant admitted to past drug use and selling prescription medication.,
23-02407.h1,Personal Conduct,False statements on SF-86,Applicant falsified information on security clearance application.,
23-02412.h1,Financial,Unpaid taxes,Applicant failed to timely file federal and state tax returns.,
23-02462.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting security clearance application.,
23-02490.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant diagnosed with paraphilic disorder affecting judgment.,
23-02507.h1,Financial,Unpaid taxes,Applicant failed to file federal and state tax returns as required.,
23-02519.h1,Financial,Unpaid taxes,Applicant has multiple past-due federal and state taxes.,
23-02540.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent accounts totaling $25,485.",
23-02541.h1,Financial,Chronic delinquent debt,"Applicant has over $20,000 in delinquent debts and unpaid taxes.",
23-02542.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling about $34,000.",
23-02557.h1,Drugs,Recent use within adjudicative window,"Applicant used marijuana until Dec 2022, despite knowing it's illegal federally.",
23-02569.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has a history of mental health issues impacting reliability.,
23-02570.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts exceeding $31,000.",
23-02576.h1,Drugs,Failure to disclose use,Applicant admitted to multiple instances of failing to disclose marijuana use.,
23-02577.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent accounts totaling over $36,000.",
23-02580.h1,Financial,Chronic delinquent debt,"Applicant has 12 delinquent debts totaling approximately $154,000.",
23-02591.h1,Drugs,Use after submitting SF-86,Applicant used illegal drugs after being granted security clearance.,
23-02595.h1,Drugs,Recent use within adjudicative window,Applicant had past drug use while holding a security clearance.,
23-02599.h1,Drugs,Use after submitting SF-86,Applicant used marijuana and Delta-8 after submitting SF-86 but has since abstained.,
23-02609.h1,Criminal Conduct,Felony conviction,Applicant has a felony charge for child abuse and a history of related incidents.,
23-02642.h1,Financial,Chronic delinquent debt,"Applicant has 14 delinquent debts totaling $68,954.",
23-02657.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and unpaid taxes.,
23-02659.h1,Personal Conduct,False statements on SF-86,"Applicant submitted false labor hours, leading to clearance suspension.",
23-02663.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent accounts totaling over $100,000.",
23-02666.h1,Drugs,Use during clearance process,Applicant admitted past marijuana use during clearance process.,
23-02668.h1,Financial,Chronic delinquent debt,Applicant had multiple delinquent debts but is resolving them.,
23-02694.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting security clearance application.,
23-02701.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $23,000.",
23-02709.h1,Personal Conduct,False statements on SF-86,Applicant falsified information on security clearance application.,
23-02711.h1,Financial,Chronic delinquent debt,"Applicant has multiple debts totaling over $35,310.",
23-02713.h1,Criminal Conduct,Felony conviction,Applicant was charged with sexual assault but maintains innocence.,
23-02715.h1,Criminal Conduct,Felony conviction,Applicant has multiple felony convictions and a history of violent conduct.,
23-02716.h1,Drugs,Use during clearance process,Applicant used THC during military service and failed a drug test.,
23-02802.h1,Financial,Chronic delinquent debt,Applicant has multiple bankruptcies and significant unpaid tax debts.,
23-02804.h1,Drugs,Pattern of recurring use,Applicant admitted to past drug use and distribution.,
23-02808.h1,Drugs,Pattern of recurring use,Applicant admitted to multiple illegal drug uses over several years.,
23-02820.h1,Drugs,Pattern of recurring use,Applicant has a history of drug use and related offenses.,
23-02826.h1,Foreign Influence,Close and continuing foreign contacts,Applicant has family ties in Taiwan and financial support to her father.,
23-02830.h1,Drugs,Pattern of recurring use,Applicant has a history of illegal drug use but has shown intent to abstain.,
23-02832.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling around $47,000.",
23-02838.h1,Personal Conduct,False statements on SF-86,Applicant denied prior employment misconduct and eligibility for rehire.,
23-02855.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling $24,575.",
23-02872.h1,Drugs,Failure to disclose use,Applicant admitted past marijuana use and failed to disclose it on security forms.,
23-02888.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting security clearance application.,
23-02889.h1,Financial,Unpaid taxes,Applicant has significant unpaid federal income taxes.,
23-02891.h1,Drugs,Recent use within adjudicative window,Applicant admitted to recent drug use but has shown intent to reform.,
23-02894.h1,Drugs,Use during clearance process,Applicant tested positive for marijuana during the clearance process.,
23-02896.h1,Drugs,Failure to disclose use,Applicant failed to disclose past marijuana use and related arrests.,
23-02900.h1,Financial,Failure to file required financial disclosures,"Applicant has not filed tax returns since 2018, indicating financial irresponsibility.",
23-02903.h1,Financial,Chronic delinquent debt,"Applicant has many unresolved debts totaling $27,686.",
23-02904.h1,Alcohol Consumption,DUI or DWI incidents,"Applicant pled guilty to DUI, raising security concerns.; level1_corrected",
23-02933.h1,Financial,Failure to file required financial disclosures,Applicant failed to file federal income tax returns for multiple years.,
23-02963.h1,Drugs,Recent use within adjudicative window,Applicant admitted to recent illegal drug use and failed drug tests.,
24-00001.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling approximately $35,700.",
24-00002.h1,Financial,Failure to file required financial disclosures,Applicant failed to file income tax returns for multiple years.,
24-00008.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $22,000.",
24-00014.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after applying for security clearance.,
24-00024.h1,Drugs,Pattern of recurring use,Applicant has a history of severe alcohol and drug use.,
24-00026.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and failed to disclose them.,
24-00027.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has a history of bipolar disorder and major depressive disorder.,
24-00030.h1,Financial,Chronic delinquent debt,Applicant has multiple unpaid debts and filed for bankruptcy.,
24-00032.h1,Financial,Chronic delinquent debt,Applicant has unresolved debts and disputes regarding their status.,
24-00060.h1,Financial,Chronic delinquent debt,Applicant has a history of financial problems and multiple delinquent debts.,
24-00067.h1,Financial,Chronic delinquent debt,"Applicant admitted multiple debts, some remain unpaid.",
24-00073.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant's PTSD affects judgment and reliability.,
24-00076.h1,Financial,Chronic delinquent debt,"Applicant has significant unresolved delinquent debts totaling over $19,000.",
24-00111.h1,Personal Conduct,False statements on SF-86,Applicant falsified background investigation reports and timecards.,
24-00116.h1,Drugs,Failure to disclose use,Applicant failed to disclose marijuana use on security application.,
24-00117.h1,Foreign Influence,Financial ties to foreign persons or entities,Applicant has family in Ethiopia and provides financial support.,
24-00119.h1,Personal Conduct,False statements on SF-86,Applicant submitted fraudulent time records during employment.,
24-00132.h1,Drugs,Use after submitting SF-86,Applicant admitted to marijuana use after submitting his SCA.,
24-00139.h1,Criminal Conduct,Felony conviction,Applicant has a conviction for threat of violence.,
24-00192.h1,Financial,Unpaid taxes,Applicant has unpaid federal taxes and failed to file returns on time.,
24-00196.h1,Criminal Conduct,Felony conviction,Applicant admitted to multiple thefts and falsifying work hours.,
24-00197.h1,Drugs,Pattern of recurring use,Applicant admitted to multiple drug uses over several years.,
24-00198.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling about $36,000.",
24-00200.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-00204.h1,Drugs,Pattern of recurring use,Applicant has a history of drug abuse including marijuana and harder drugs.,
24-00213.h1,Foreign Preference,Use of foreign passport,Applicant used Nigerian passport after becoming US citizen.,
24-00220.h1,Drugs,Use of federally illegal substances despite state legality,Applicant used marijuana legally in state but not federally; ceased use after awareness.,
24-00222.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-00224.h1,Financial,Chronic delinquent debt,"Applicant has numerous delinquent debts, including federal taxes.",
24-00225.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $18,000.",
24-00227.h1,Financial,Unpaid taxes,Applicant has significant past-due debt related to divorce.,
24-00236.h1,Drugs,Failure to disclose use,Applicant failed to disclose marijuana use during clearance process.,
24-00237.h1,Drugs,Use during clearance process,Applicant tested positive for THC during military service.,
24-00245.h1,Drugs,Failure to disclose use,Applicant failed to disclose positive marijuana test.,
24-00254.h1,Criminal Conduct,Felony conviction,Applicant has multiple felony convictions including armed robbery.,
24-00256.h2,Drugs,Recent use within adjudicative window,Applicant admitted to recent marijuana use after prior abstinence.,
24-00270.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling approximately $211,000.",
24-00275.h1,Financial,Chronic delinquent debt,Applicant has significant unresolved debts and failed to address them.,
24-00278.h1,Personal Conduct,False statements on SF-86,Applicant falsified security clearance applications.,
24-00313.h1,Drugs,Failure to disclose use,Applicant denied illegal drug use despite admitting marijuana use.,
24-00314.h1,Drugs,Recent use within adjudicative window,Applicant tested positive for cocaine during security clearance process.,
24-00325.h1,Drugs,Recent use within adjudicative window,Applicant admitted to marijuana use until September 2023.,
24-00330.h1,Financial,Failure to file required financial disclosures,"Applicant failed to file taxes from 2012 to 2020, raising trust issues.",
24-00335.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent accounts totaling over $39,000.",
24-00336.h1,Personal Conduct,Pattern of dishonesty,Applicant has multiple arrests and failures to comply with court orders.; level1_corrected,
24-00337.h1,Drugs,Failure to disclose use,Applicant admitted to past marijuana use and falsified SCA.,
24-00338.h1,Financial,Chronic delinquent debt,Applicant has significant delinquent debts and unpaid taxes.,
24-00341.h1,Foreign Influence,Close and continuing foreign contacts,Applicant has significant ties to a dual citizen of Russia.,
24-00351.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved delinquent accounts totaling $19,991.",
24-00361.h1,Financial,Chronic delinquent debt,"Applicant has over $100,000 in debts and failed to provide evidence of repayment efforts.",
24-00362.h1,Criminal Conduct,Felony conviction,Applicant has a history of domestic violence and harassment convictions.,
24-00363.h1,Drugs,Failure to disclose use,Applicant did not report marijuana use on SF-86 despite its legality in his state.,
24-00366.h1,Financial,Unpaid taxes,Applicant failed to file tax returns for 2023 and 2024.,
24-00368.h1,Drugs,Pattern of recurring use,Applicant has a long history of drug use and spending on illegal substances.,
24-00375.h1,Technology Misuse / Information Security,Policy violations involving IT systems,Applicant accessed inappropriate content on work computer.,
24-00378.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts but is actively addressing them.,
24-00383.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DUI incidents and admitted to alcohol use disorder.,
24-00391.h1,Financial,Chronic delinquent debt,Applicant has a history of delinquent debts but is making efforts to resolve them.,
24-00392.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DUI convictions and is currently on probation.,
24-00464.h1,Financial,Chronic delinquent debt,"Applicant has unresolved student loan debt of $48,693.",
24-00468.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a sensitive position.,
24-00478.h1,Drugs,Pattern of recurring use,"Applicant has a long history of drug use, including recent use.",
24-00482.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting clearance application.,
24-00490.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling about $16,700.",
24-00491.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $37,000.",
24-00500.h1,Financial,Unpaid taxes,Applicant failed to file multiple tax returns and has delinquent tax debts.,
24-00502.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DUI convictions and alcohol-related incidents.,
24-00503.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting security clearance application.,
24-00517.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $18,000.",
24-00521.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and failed to address them.,
24-00529.h1,Financial,Unpaid taxes,Applicant has unfiled federal and state tax returns and unpaid taxes.,
24-00531.h1,Financial,Chronic delinquent debt,"Applicant has 19 delinquent accounts totaling approximately $39,000.",
24-00538.h1,Personal Conduct,Prior employment misconduct,Applicant was terminated for incorrect time reporting.,
24-00549.h1,Alcohol Consumption,DUI or DWI incidents,Applicant had multiple DUI incidents and admitted to alcohol use disorder.,
24-00550.h1,Financial,Unpaid taxes,"Applicant has $10,000 in unpaid federal taxes.",
24-00553.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and failed to file tax returns.,
24-00561.h1,Drugs,Failure to disclose use,Applicant failed to disclose marijuana use on security application.,
24-00563.h1,Drugs,Failure to disclose use,Applicant admitted to past marijuana use but failed to disclose citations.,
24-00567.h1,Drugs,Use during clearance process,Applicant mitigated drug involvement concerns; disclosed use on application.,
24-00577.h1,Financial,Chronic delinquent debt,"Applicant admitted multiple unresolved debts totaling over $48,000.",
24-00598.h1,Drugs,Use after submitting SF-86,Applicant used multiple illegal substances after obtaining security clearance.,
24-00600.h1,Drugs,Failure to disclose use,Applicant admitted to marijuana use but failed to disclose it in questionnaires.,
24-00603.h1,Drugs,Pattern of recurring use,Applicant admitted to a long history of marijuana use.,
24-00605.h1,Financial,Unpaid taxes,Applicant failed to file federal and state taxes for multiple years.,
24-00606.h1,Drugs,Pattern of recurring use,Applicant admitted to frequent marijuana use and cultivation.,
24-00611.h1,Financial,Unpaid taxes,Applicant failed to file taxes and has significant unpaid tax debt.,
24-00613.h1,Financial,Unpaid taxes,Applicant has unpaid federal and state income taxes.,
24-00614.h1,Financial,Failure to file required financial disclosures,Applicant failed to file tax returns for multiple years.,
24-00615.h1,Personal Conduct,False statements on SF-86,Applicant falsified SCA by omitting arrests and drug use.,
24-00641.h1,Alcohol Consumption,Pattern of binge drinking,Applicant has a history of severe alcohol use disorder and inconsistent abstinence.,
24-00644.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-00647.h1,Financial,Unpaid taxes,Applicant has multiple unpaid federal and state taxes.,
24-00650.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant's bipolar disorder and alcohol use disorder impair judgment.,
24-00652.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and a history of bankruptcy.,
24-00653.h1,Financial,Bankruptcy with aggravating factors,Applicant admitted to multiple bankruptcies and significant debts.,
24-00658.h1,Financial,Failure to file required financial disclosures,Applicant failed to file federal and state tax returns from 2018 to 2022.,
24-00659.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and unpaid taxes.,
24-00666.h1,Drugs,Pattern of recurring use,Applicant admitted to multiple drug uses over several years.,
24-00694.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $225,000.",
24-00705.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $31,000.",
24-00743.h1,Drugs,Pattern of recurring use,Applicant admitted to multiple illegal drug uses over several years.,
24-00744.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-00747.h1,Financial,Chronic delinquent debt,Applicant has unresolved debts and disputes regarding financial obligations.,
24-00750.h1,Foreign Influence,Financial ties to foreign persons or entities,Applicant has foreign family ties and potential property inheritance.,
24-00773.h1,Financial,Failure to file required financial disclosures,"Applicant failed to file taxes for multiple years, indicating poor financial judgment.",
24-00798.h1,Drugs,Use during clearance process,Applicant used illegal drugs while applying for clearance.,
24-00802.h1,Criminal Conduct,Failure to disclose prior charges,Applicant misused company resources and was dishonest during the investigation.; level1_corrected,
24-00808.h1,Financial,Chronic delinquent debt,"Applicant has multiple tax liens and debts totaling over $88,000.",
24-00815.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and unpaid taxes.,
24-00816.h1,Drugs,Recent use within adjudicative window,Applicant's illegal marijuana use raises security concerns.,
24-00831.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
